Source,Number of articles
drsaikat_blogspot_com.txt,23
togointotheworld_blogspot_com.txt,1
pwd_kurigram_gov_bd.txt,2
www_urb_im.txt,12
zso_panchbibi_joypurhat_gov_bd.txt,2
projuktialapon_blogspot_com.txt,25
tagoreweb_in.txt,161
mohfw_gov_bd.txt,217
topfreeporno_com.txt,1209
afr_hablaa_com.txt,1
closeupnews_com.txt,38
bodybuildingindia_com.txt,1
shaj_com_bd.txt,12
eitatomargaan_blogspot_com.txt,60
primenewsbd_com.txt,464
gopalgonj_net.txt,72
jeeon_com_bd.txt,3
androdir_com.txt,1
linkarena_com.txt,2
nuraldeen_com.txt,1048
poetry_sangamhouse_org.txt,1
www_heiha_net.txt,2
hstu_ac_bd.txt,5
www_blogamar_com.txt,637
www_firstnewsbd_com.txt,26
ocie_pabna_gov_bd.txt,2
www_mobot_net.txt,5
www_metroplus_org.txt,3
www_sohel_net.txt,12
www_openhatt_com.txt,1096
bd_barta_com.txt,4
www_iupui_edu.txt,1
breaking24_com.txt,1408
funny_trendolizer_com.txt,1
bibleforchildren_org.txt,33
peoplesreporter_wordpress_com.txt,26
meeraloveslanguages_wordpress_com.txt,1
brighamcityhospital_com.txt,1
www_ipadhelpguide_net.txt,1
domar_nilphamari_gov_bd.txt,4
wrc_dinajpur_gov_bd.txt,2
www_m_rtnn_net.txt,114
www_thenetheads_com.txt,5
shishuacademy_nilphamari_gov_bd.txt,2
www_ce_se.txt,7
protisruti_org.txt,3
shilpakala_rajshahi_gov_bd.txt,1
india_alltop_com.txt,37
www_voipact_com.txt,1
univdhaka_edu.txt,202
redgonzo_com.txt,727
banglamusiczz_blogspot_com.txt,2
foulgossip_blogspot_com.txt,58
portsmouthhospital_secure_ehc_com.txt,1
bdfact_blogspot_com.txt,1
tunerpost_com.txt,54
eggfriedrice_com.txt,2
practicewithus_com.txt,1
isilagu_net.txt,1
www_smartphonebd_com.txt,3
addwapi_com.txt,10
archaeology_comilla_gov_bd.txt,2
crazy_indian_video_blogspot_com.txt,1
www_todaytips_tk.txt,3
mgolamrabbi_wordpress_com.txt,2
www_iso_edu_com.txt,35
blowflygirl_blogspot_nl.txt,2
abdulfat_appspot_com.txt,23
bangladeshtigers_com_foxmos_com.txt,1
www_xnxx_com.txt,51
nirmanmagazine_com.txt,8
draft_blogger_com.txt,1
learncomputer_info.txt,8
box_es.txt,2
police_barisal_gov_bd.txt,2
bighd_tv.txt,7
techtunes_userecho_com.txt,19
www_sslwireless_com.txt,10
ashna218_wordpress_com.txt,1
no_rhyme_or_reason_blogspot_com.txt,2
free_css_menu_com.txt,1
dss_chittagong_gov_bd.txt,2
twitchy_com.txt,7
amadersylhet_com.txt,17
www_politicnote_com.txt,2
nalchity_jhalakathi_gov_bd.txt,4
fullhindidubbedmovie_com.txt,7
shorbobarta_com.txt,35
benth_com_bd.txt,6
ctgcrimenews_com.txt,22
kalkini_madaripur_gov_bd.txt,5
rangpurbazar_blogspot_com.txt,168
rapidsharemix_com.txt,1
dia_gov_bd.txt,5
www_sylhetsurmatv_com.txt,39
www_lyrikline_org.txt,1
obscuretheories_blogspot_in.txt,11
view_publitas_com.txt,7
design_tutsplus_com.txt,12
dghs_barisaldiv_gov_bd.txt,2
swadhinbangla_com.txt,2
ocie_dinajpur_gov_bd.txt,2
thedhakapost_com.txt,5
esad_org_bd.txt,1
www_animalhealthcarebd_com.txt,1
mirsharai_chittagong_gov_bd.txt,2
englishhomebd_blogspot_com.txt,3
www_banglanews_com_bd.txt,271
www_ifxid_com.txt,22
www_toratube_net.txt,79
fpo_feni_gov_bd.txt,2
streema_com.txt,9
itgoessofast_blogspot_com.txt,1
yahoobestpicture_blogspot_com.txt,3
video_indiaeveryday_com.txt,19
cse_buet_ac_bd.txt,11
brta_pirojpur_gov_bd.txt,2
sonarmadina_com.txt,34
www_satkhiranews_com.txt,1897
barisal_gov_bd.txt,128
bdtipsandtricks_com.txt,16
dithob_blogspot_com.txt,1
www_btmc_gov_bd.txt,12
